epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,train_unif,fsq_val_total,val_recon,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_perplexity,val_code_usage_pct,val_code_perplexity
43,1.647589,1.647589,0.4016,0.8276,0.6702,0.7406,0.0000,1.507887,1.507887,0.4253,0.5030,0.8146,0.6220,0.0000,-0.1397,3.7e-03,359.5,3.782386,3.771770,1.061642e-02,3.576725,3.566185,1.054014e-02,-0.2057,9.999999e-01,9.194068e-02,9.1e-04,100.00,535.08,100.00,501.29
44,1.644315,1.644315,0.4012,0.8268,0.6769,0.7444,0.0000,1.501408,1.501408,0.4290,0.6266,0.7000,0.6613,0.0000,-0.1429,3.6e-03,359.3,3.752774,3.741589,1.118436e-02,3.877006,3.866659,1.034720e-02,0.1242,9.999999e-01,8.781700e-02,9.1e-04,100.00,533.26,100.00,502.90
45,1.653012,1.653012,0.3997,0.8297,0.6833,0.7494,0.0000,1.486708,1.486708,0.4239,0.5292,0.8171,0.6424,0.0000,-0.1663,3.6e-03,359.0,3.751602,3.740473,1.112884e-02,3.773840,3.764395,9.445797e-03,0.0222,9.999999e-01,7.685539e-02,9.0e-04,100.00,528.64,100.00,500.05
46,1.655693,1.655693,0.3980,0.8293,0.6797,0.7471,0.0000,1.546429,1.546429,0.4120,0.6255,0.7171,0.6682,0.0000,-0.1093,3.6e-03,359.5,3.741354,3.730438,1.091654e-02,3.710402,3.700543,9.858862e-03,-0.0310,9.999999e-01,7.327585e-02,9.0e-04,100.00,530.29,100.00,518.04
47,1.650235,1.650235,0.3996,0.8215,0.6811,0.7448,0.0000,1.553703,1.553703,0.4169,0.4985,0.8268,0.6220,0.0000,-0.0965,3.6e-03,358.7,3.764721,3.753936,1.078483e-02,3.464974,3.451407,1.356651e-02,-0.2997,9.999999e-01,8.022648e-02,9.0e-04,100.00,535.75,100.00,476.10
48,1.663415,1.663415,0.3967,0.8336,0.6921,0.7562,0.0000,1.553015,1.553015,0.4183,0.6056,0.7341,0.6637,0.0000,-0.1104,3.6e-03,357.9,3.718799,3.707949,1.085059e-02,3.562268,3.548261,1.400643e-02,-0.1565,9.999999e-01,7.334557e-02,8.9e-04,100.00,532.27,100.00,475.94
49,1.663476,1.663476,0.3957,0.8344,0.6936,0.7575,0.0000,1.589130,1.589130,0.4048,0.6766,0.7195,0.6974,0.0000,-0.0743,3.5e-03,359.4,3.690488,3.679686,1.080171e-02,3.525325,3.515246,1.007994e-02,-0.1652,9.999999e-01,7.690986e-02,8.9e-04,100.00,532.51,100.00,520.81
50,1.667963,1.667963,0.3943,0.8382,0.6938,0.7592,0.0000,1.503995,1.503995,0.4228,0.6773,0.6756,0.6764,0.0000,-0.1640,3.5e-03,358.7,3.687163,3.675743,1.142046e-02,3.649177,3.640226,8.951504e-03,-0.0380,9.999999e-01,8.246833e-02,8.8e-04,100.00,529.45,100.00,534.77
51,1.649480,1.649480,0.3972,0.8357,0.6984,0.7609,0.0000,1.552636,1.552636,0.4155,0.6713,0.7122,0.6911,0.0000,-0.0968,3.5e-03,359.4,3.664889,3.654102,1.078695e-02,3.577676,3.565693,1.198353e-02,-0.0872,9.999999e-01,8.176028e-02,8.8e-04,100.00,529.42,100.00,482.53
52,1.670070,1.670070,0.3927,0.8420,0.7047,0.7673,0.0000,1.574840,1.574840,0.4089,0.5346,0.8293,0.6501,0.0000,-0.0952,3.5e-03,360.9,3.673289,3.662636,1.065266e-02,3.455525,3.444607,1.091761e-02,-0.2178,9.999999e-01,7.579946e-02,8.7e-04,100.00,531.77,100.00,505.26
53,1.666454,1.666454,0.3937,0.8373,0.7071,0.7667,0.0000,1.575782,1.575782,0.4052,0.5756,0.8268,0.6787,0.0000,-0.0907,3.5e-03,360.0,3.667086,3.656015,1.107180e-02,3.474325,3.464299,1.002565e-02,-0.1928,9.999999e-01,7.942767e-02,8.6e-04,100.00,527.04,100.00,507.59
54,1.664767,1.664767,0.3936,0.8350,0.7049,0.7645,0.0000,1.560118,1.560118,0.4099,0.6023,0.7683,0.6752,0.0000,-0.1046,3.4e-03,359.2,3.671928,3.660927,1.100116e-02,3.547730,3.538064,9.665441e-03,-0.1242,9.999999e-01,7.557932e-02,8.6e-04,100.00,523.30,100.00,509.62
55,1.661839,1.661839,0.3933,0.8369,0.7033,0.7643,0.0000,1.556987,1.556987,0.4097,0.5109,0.8537,0.6393,0.0000,-0.1049,3.4e-03,360.4,3.668961,3.657459,1.150191e-02,3.484799,3.474492,1.030662e-02,-0.1842,9.999999e-01,7.699385e-02,8.5e-04,100.00,517.73,100.00,505.29
56,1.678782,1.678782,0.3911,0.8395,0.7033,0.7654,0.0000,1.511242,1.511242,0.4165,0.6250,0.7561,0.6843,0.0000,-0.1675,3.4e-03,358.9,3.707615,3.696491,1.112431e-02,3.470695,3.458929,1.176595e-02,-0.2369,9.999999e-01,6.794325e-02,8.5e-04,100.00,510.83,100.00,497.19
57,1.685835,1.685835,0.3889,0.8430,0.7076,0.7694,0.0000,1.609552,1.609552,0.4034,0.6726,0.7415,0.7053,0.0000,-0.0763,3.4e-03,358.0,3.664412,3.653262,1.115071e-02,3.542979,3.533307,9.672760e-03,-0.1214,9.999999e-01,7.034788e-02,8.4e-04,100.00,509.07,100.00,500.09
58,1.677873,1.677873,0.3906,0.8447,0.7123,0.7729,0.0000,1.567580,1.567580,0.4089,0.5532,0.8244,0.6621,0.0000,-0.1103,3.3e-03,359.5,3.661463,3.650085,1.137878e-02,3.680875,3.668069,1.280569e-02,0.0194,9.999999e-01,8.361196e-02,8.4e-04,100.00,509.70,100.00,481.27
59,1.667261,1.667261,0.3923,0.8391,0.7201,0.7750,0.0000,1.552822,1.552822,0.4132,0.6604,0.7732,0.7124,0.0000,-0.1144,3.3e-03,358.6,3.647720,3.636027,1.169314e-02,3.481462,3.468627,1.283473e-02,-0.1663,9.999999e-01,7.145867e-02,8.3e-04,100.00,502.50,100.00,482.05
60,1.674814,1.674814,0.3904,0.8409,0.7129,0.7716,0.0000,1.540267,1.540267,0.4152,0.5936,0.8195,0.6885,0.0000,-0.1345,3.3e-03,358.0,3.656097,3.643959,1.213825e-02,3.551289,3.536716,1.457363e-02,-0.1048,9.999999e-01,7.175157e-02,8.3e-04,100.00,499.40,100.00,465.34
61,1.657418,1.657418,0.3937,0.8428,0.7141,0.7731,0.0000,1.543998,1.543998,0.4118,0.5014,0.8780,0.6383,0.0000,-0.1134,3.3e-03,359.4,3.659927,3.648084,1.184274e-02,3.555337,3.544493,1.084403e-02,-0.1046,9.999999e-01,6.938021e-02,8.2e-04,100.00,498.30,100.00,488.89
62,1.671400,1.671400,0.3901,0.8427,0.7119,0.7718,0.0000,1.560867,1.560867,0.4115,0.5312,0.8732,0.6605,0.0000,-0.1105,3.3e-03,358.9,3.640108,3.628354,1.175420e-02,3.546099,3.534642,1.145697e-02,-0.0940,9.999999e-01,7.228923e-02,8.1e-04,100.00,500.75,100.00,470.98
63,1.659262,1.659262,0.3920,0.8468,0.7215,0.7791,0.0000,1.543054,1.543054,0.4081,0.5649,0.8488,0.6784,0.0000,-0.1162,3.2e-03,358.0,3.606352,3.594479,1.187270e-02,3.394428,3.382436,1.199241e-02,-0.2119,9.999999e-01,6.984990e-02,8.1e-04,100.00,498.58,100.00,491.09
64,1.658172,1.658172,0.3925,0.8466,0.7204,0.7785,0.0000,1.631687,1.631687,0.3964,0.5904,0.8122,0.6838,0.0000,-0.0265,3.2e-03,359.7,3.627577,3.615125,1.245208e-02,3.487046,3.474842,1.220481e-02,-0.1405,9.999999e-01,7.255886e-02,8.0e-04,100.00,487.80,100.00,485.92
65,1.648780,1.648780,0.3933,0.8445,0.7164,0.7752,0.0000,1.491764,1.491764,0.4218,0.7342,0.7073,0.7205,0.0000,-0.1570,3.2e-03,359.1,3.631263,3.618357,1.290568e-02,3.411676,3.397274,1.440233e-02,-0.2196,9.999999e-01,7.210700e-02,7.9e-04,100.00,486.57,100.00,446.24
66,1.654603,1.654603,0.3926,0.8480,0.7192,0.7783,0.0000,1.543710,1.543710,0.4117,0.5971,0.8098,0.6874,0.0000,-0.1109,3.2e-03,358.7,3.651432,3.638692,1.273972e-02,3.629443,3.612993,1.645046e-02,-0.0220,9.999999e-01,6.960241e-02,7.9e-04,100.00,485.96,100.00,437.92
67,1.653735,1.653735,0.3920,0.8494,0.7192,0.7789,0.0000,1.562975,1.562975,0.4035,0.5740,0.8415,0.6825,0.0000,-0.0908,3.1e-03,359.5,3.657151,3.644466,1.268465e-02,3.406380,3.393841,1.253950e-02,-0.2508,9.999999e-01,6.521045e-02,7.8e-04,100.00,480.89,100.00,474.66
68,1.639828,1.639828,0.3947,0.8534,0.7300,0.7869,0.0000,1.528066,1.528066,0.4141,0.6225,0.8244,0.7093,0.0000,-0.1118,3.1e-03,359.0,3.612363,3.599875,1.248812e-02,3.431416,3.420337,1.107844e-02,-0.1809,9.999999e-01,7.040120e-02,7.8e-04,100.00,482.81,100.00,484.68
69,1.628994,1.628994,0.3961,0.8538,0.7308,0.7875,0.0000,1.527792,1.527792,0.4096,0.6190,0.8244,0.7071,0.0000,-0.1012,3.1e-03,357.8,3.613682,3.600900,1.278203e-02,3.452644,3.439741,1.290280e-02,-0.1610,9.999999e-01,7.322180e-02,7.7e-04,100.00,476.92,100.00,473.60
70,1.635215,1.635215,0.3945,0.8536,0.7280,0.7858,0.0000,1.562798,1.562798,0.4056,0.6358,0.8049,0.7104,0.0000,-0.0724,3.0e-03,359.3,3.616430,3.603728,1.270176e-02,3.518523,3.503107,1.541588e-02,-0.0979,9.999999e-01,6.828073e-02,7.6e-04,100.00,478.80,100.00,448.61
71,1.617325,1.617325,0.3979,0.8511,0.7231,0.7819,0.0000,1.641405,1.641405,0.3984,0.5762,0.8024,0.6707,0.0000,0.0241,3.0e-03,358.5,3.594188,3.581518,1.266962e-02,3.457335,3.444575,1.275911e-02,-0.1369,9.999999e-01,7.296811e-02,7.6e-04,100.00,481.54,100.00,473.66
72,1.617965,1.617965,0.3976,0.8565,0.7359,0.7916,0.0000,1.528695,1.528695,0.4137,0.6943,0.7976,0.7423,0.0000,-0.0893,3.0e-03,357.8,3.580712,3.568109,1.260289e-02,3.459400,3.448457,1.094375e-02,-0.1213,9.999999e-01,6.635208e-02,7.5e-04,100.00,478.93,100.00,481.84
73,1.610810,1.610810,0.3979,0.8524,0.7326,0.7880,0.0000,1.529271,1.529271,0.4113,0.6204,0.8171,0.7053,0.0000,-0.0815,3.0e-03,359.6,3.573947,3.561079,1.286822e-02,3.288959,3.275213,1.374557e-02,-0.2850,9.999999e-01,6.901481e-02,7.4e-04,100.00,477.02,100.00,461.10
74,1.609901,1.609901,0.3981,0.8556,0.7322,0.7891,0.0000,1.507216,1.507216,0.4102,0.6520,0.8317,0.7310,0.0000,-0.1027,2.9e-03,359.5,3.539389,3.526790,1.259890e-02,3.334193,3.320103,1.408955e-02,-0.2052,9.999999e-01,6.900582e-02,7.4e-04,100.00,477.18,100.00,457.56
75,1.602576,1.602576,0.3988,0.8565,0.7274,0.7867,0.0000,1.613523,1.613523,0.3993,0.6232,0.8390,0.7152,0.0000,0.0109,2.9e-03,359.2,3.537723,3.524987,1.273645e-02,3.442223,3.428463,1.376067e-02,-0.0955,9.999999e-01,7.091718e-02,7.3e-04,100.00,473.25,100.00,460.92
76,1.600897,1.600897,0.3991,0.8560,0.7406,0.7941,0.0000,1.672590,1.672590,0.3897,0.7636,0.7171,0.7396,0.0000,0.0717,2.9e-03,360.8,3.537495,3.524712,1.278287e-02,3.597865,3.583084,1.478073e-02,0.0604,9.999999e-01,6.849412e-02,7.2e-04,100.00,473.66,100.00,457.12
77,1.611768,1.611768,0.3964,0.8575,0.7373,0.7929,0.0000,1.496595,1.496595,0.4172,0.7551,0.7293,0.7419,0.0000,-0.1152,2.9e-03,359.8,3.514873,3.501961,1.291242e-02,3.361656,3.349674,1.198244e-02,-0.1532,9.999999e-01,6.687439e-02,7.1e-04,100.00,473.34,100.00,470.60
