epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,train_unif,fsq_val_total,val_recon,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
39,2.526330,2.526330,0.4065,0.6189,0.2697,0.3756,2.265203,2.265203,0.4499,0.3207,0.4732,0.3823,-0.2611,3.5e-03,199.2,5.616951,5.604598,1.235255e-02,5.158671,5.145026,1.364499e-02,-0.4583,9.999999e-01,5.030344e-02,8.8e-04,100.00,75.45,100.00,71.51
40,2.524837,2.524837,0.4040,0.6429,0.3266,0.4331,2.340892,2.340892,0.4346,0.3669,0.4000,0.3827,-0.1839,3.5e-03,199.4,5.453191,5.440684,1.250702e-02,5.032441,5.018922,1.351890e-02,-0.4208,9.999999e-01,4.710510e-02,8.7e-04,100.00,75.98,100.00,73.21
41,2.510761,2.510761,0.4050,0.6318,0.3352,0.4381,2.331296,2.331296,0.4372,0.4825,0.3024,0.3718,-0.1795,3.5e-03,199.1,5.313803,5.300964,1.283839e-02,4.951880,4.939497,1.238365e-02,-0.3619,9.999999e-01,4.603853e-02,8.6e-04,100.00,75.57,100.00,73.09
42,2.488909,2.488909,0.4102,0.6702,0.3441,0.4547,2.293019,2.293019,0.4438,0.2941,0.7000,0.4141,-0.1959,3.4e-03,199.8,5.195467,5.182313,1.315439e-02,4.765322,4.750723,1.459877e-02,-0.4301,9.999999e-01,4.870749e-02,8.6e-04,100.00,75.28,100.00,72.72
43,2.489986,2.489986,0.4085,0.6605,0.3578,0.4642,2.338650,2.338650,0.4315,0.5015,0.3976,0.4435,-0.1513,3.4e-03,199.0,5.081906,5.068772,1.313328e-02,4.687562,4.674301,1.326032e-02,-0.3943,9.999999e-01,4.634471e-02,8.5e-04,100.00,75.47,100.00,76.20
44,2.519524,2.519524,0.4022,0.6770,0.4034,0.5056,2.294691,2.294691,0.4418,0.3270,0.5854,0.4196,-0.2248,3.4e-03,199.1,4.950376,4.936977,1.339813e-02,4.608846,4.595367,1.347994e-02,-0.3415,9.999999e-01,4.717184e-02,8.4e-04,100.00,75.89,100.00,74.69
45,2.490542,2.490542,0.4081,0.6789,0.4310,0.5272,2.354856,2.354856,0.4279,0.2942,0.6976,0.4139,-0.1357,3.3e-03,199.3,4.867053,4.853486,1.356653e-02,4.530786,4.517571,1.321543e-02,-0.3363,9.999999e-01,4.638105e-02,8.3e-04,100.00,75.44,100.00,77.53
46,2.508856,2.508856,0.4023,0.6992,0.4450,0.5438,2.334322,2.334322,0.4309,0.3708,0.6439,0.4706,-0.1745,3.3e-03,199.1,4.749595,4.735832,1.376298e-02,4.419099,4.405078,1.402127e-02,-0.3305,9.999999e-01,4.978587e-02,8.2e-04,100.00,75.16,100.00,73.02
47,2.506551,2.506551,0.4025,0.6865,0.4501,0.5437,2.238416,2.238416,0.4513,0.5803,0.2732,0.3715,-0.2681,3.3e-03,199.2,4.662087,4.648348,1.373955e-02,4.383515,4.365611,1.790350e-02,-0.2786,9.999999e-01,4.475602e-02,8.2e-04,100.00,75.57,100.00,67.68
48,2.493114,2.493114,0.4046,0.7023,0.4802,0.5704,2.326148,2.326148,0.4305,0.4293,0.5854,0.4954,-0.1670,3.2e-03,199.5,4.605602,4.590760,1.484217e-02,4.166360,4.152500,1.386033e-02,-0.4392,9.999999e-01,4.953885e-02,8.1e-04,100.00,74.31,100.00,76.14
49,2.483160,2.483160,0.4061,0.7109,0.4863,0.5775,2.301674,2.301674,0.4357,0.3689,0.6415,0.4684,-0.1815,3.2e-03,199.6,4.543376,4.528663,1.471295e-02,4.261307,4.245922,1.538540e-02,-0.2821,9.999999e-01,4.672930e-02,8.0e-04,100.00,73.87,100.00,72.39
50,2.479715,2.479715,0.4061,0.7100,0.5074,0.5919,2.273389,2.273389,0.4425,0.4382,0.4927,0.4638,-0.2063,3.2e-03,199.0,4.476576,4.461536,1.503960e-02,4.230199,4.211464,1.873562e-02,-0.2464,9.999999e-01,4.557630e-02,7.9e-04,100.00,72.70,100.00,70.44
51,2.484043,2.484043,0.4053,0.7214,0.5200,0.6044,2.285690,2.285690,0.4382,0.4035,0.6732,0.5046,-0.1984,3.1e-03,198.9,4.425186,4.409175,1.601106e-02,4.094462,4.078078,1.638480e-02,-0.3307,9.999999e-01,4.817598e-02,7.8e-04,100.00,71.96,100.00,70.58
52,2.477714,2.477714,0.4068,0.7176,0.5268,0.6075,2.325771,2.325771,0.4294,0.4715,0.5659,0.5144,-0.1519,3.1e-03,199.4,4.400171,4.384675,1.549626e-02,4.342390,4.325501,1.688855e-02,-0.0578,9.999999e-01,4.598905e-02,7.7e-04,100.00,71.69,100.00,68.58
53,2.457140,2.457140,0.4113,0.7232,0.5365,0.6160,2.202686,2.202686,0.4598,0.4836,0.6463,0.5532,-0.2545,3.1e-03,199.7,4.393519,4.376947,1.657221e-02,4.179093,4.155212,2.388092e-02,-0.2144,9.999999e-01,5.097240e-02,7.7e-04,100.00,69.54,100.00,60.70
54,2.451983,2.451983,0.4122,0.7338,0.5506,0.6292,2.287301,2.287301,0.4410,0.3575,0.7829,0.4908,-0.1647,3.0e-03,199.7,4.336231,4.319434,1.679685e-02,4.042681,4.026673,1.600809e-02,-0.2936,9.999999e-01,4.593810e-02,7.6e-04,100.00,69.31,100.00,71.55
55,2.439435,2.439435,0.4145,0.7378,0.5671,0.6413,2.259692,2.259692,0.4463,0.5129,0.5805,0.5446,-0.1797,3.0e-03,200.5,4.321003,4.303414,1.758918e-02,4.228837,4.208563,2.027438e-02,-0.0922,9.999999e-01,4.510491e-02,7.5e-04,100.00,69.02,100.00,65.77
