epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
70,2.993123,2.571637,0.2757,0.8740,0.7687,0.8180,0.4215,2.898974,2.507125,0.2910,0.7664,0.7249,0.7450,0.3918,-0.0941,3.1e-03,161.5
71,2.992666,2.568251,0.2763,0.8711,0.7710,0.8180,0.4244,2.913503,2.514116,0.2909,0.6594,0.8151,0.7291,0.3994,-0.0792,3.1e-03,162.2
72,2.988715,2.566513,0.2768,0.8743,0.7763,0.8224,0.4222,2.895057,2.501210,0.2914,0.7163,0.8005,0.7560,0.3938,-0.0937,3.1e-03,161.5
73,2.989687,2.565020,0.2770,0.8725,0.7696,0.8178,0.4247,2.883704,2.496582,0.2912,0.6702,0.8278,0.7407,0.3871,-0.1060,3.1e-03,162.2
74,2.994077,2.567094,0.2767,0.8704,0.7737,0.8192,0.4270,2.885843,2.486488,0.2926,0.7451,0.7615,0.7532,0.3994,-0.1082,3.0e-03,161.5
75,2.991360,2.564483,0.2770,0.8699,0.7780,0.8214,0.4269,2.892675,2.502606,0.2917,0.6371,0.8366,0.7233,0.3901,-0.0987,3.0e-03,162.2
76,2.996736,2.569145,0.2763,0.8766,0.7786,0.8247,0.4276,2.886026,2.491355,0.2931,0.6985,0.7966,0.7443,0.3947,-0.1107,3.0e-03,161.6
77,2.983675,2.562211,0.2774,0.8759,0.7777,0.8239,0.4215,2.884586,2.497332,0.2923,0.7386,0.7717,0.7548,0.3873,-0.0991,2.9e-03,162.4
78,2.977116,2.559362,0.2780,0.8743,0.7808,0.8249,0.4178,2.890416,2.497225,0.2931,0.6734,0.8298,0.7434,0.3932,-0.0867,2.9e-03,161.8
79,3.004977,2.580619,0.2746,0.8742,0.7499,0.8073,0.4244,2.924197,2.553742,0.2798,0.4862,0.7751,0.5976,0.3705,-0.0808,2.9e-03,162.2
80,2.988187,2.610656,0.2694,0.8542,0.7461,0.7965,0.3775,2.850413,2.493898,0.2930,0.5635,0.8868,0.6892,0.3565,-0.1378,2.9e-03,161.7
81,2.957227,2.584823,0.2737,0.8705,0.7829,0.8244,0.3724,2.849296,2.493803,0.2931,0.5877,0.8727,0.7024,0.3555,-0.1079,2.8e-03,162.2
82,2.950646,2.579216,0.2747,0.8772,0.7816,0.8267,0.3714,2.832364,2.482350,0.2935,0.5824,0.8810,0.7012,0.3500,-0.1183,2.8e-03,161.6
83,2.952667,2.579255,0.2746,0.8741,0.7825,0.8258,0.3734,2.831476,2.481671,0.2943,0.5902,0.8732,0.7043,0.3498,-0.1212,2.8e-03,162.2
84,2.929114,2.575670,0.2753,0.8738,0.7796,0.8240,0.3534,2.825550,2.490596,0.2932,0.6474,0.8293,0.7271,0.3350,-0.1036,2.8e-03,161.6
85,2.928171,2.571318,0.2761,0.8768,0.7897,0.8309,0.3569,2.825730,2.480148,0.2950,0.6633,0.8361,0.7397,0.3456,-0.1024,2.7e-03,162.0
86,2.927365,2.569320,0.2765,0.8778,0.7863,0.8295,0.3580,2.833508,2.489499,0.2939,0.6953,0.8161,0.7509,0.3440,-0.0939,2.7e-03,161.6
87,2.927934,2.575501,0.2753,0.8764,0.7824,0.8268,0.3524,2.826904,2.487509,0.2922,0.6533,0.8376,0.7341,0.3394,-0.1010,2.7e-03,162.2
88,2.926953,2.576629,0.2750,0.8748,0.7843,0.8271,0.3503,2.830007,2.490863,0.2943,0.5951,0.8610,0.7037,0.3391,-0.0969,2.7e-03,161.8
89,2.926352,2.577367,0.2751,0.8733,0.7824,0.8254,0.3490,2.820831,2.486874,0.2932,0.6624,0.8317,0.7375,0.3340,-0.1055,2.6e-03,162.3
90,2.921995,2.573475,0.2755,0.8786,0.7843,0.8288,0.3485,2.806253,2.477133,0.2948,0.6686,0.8327,0.7417,0.3291,-0.1157,2.6e-03,161.5
91,2.998858,2.614047,0.2701,0.8556,0.7389,0.7930,0.3848,2.917185,2.525387,0.2864,0.5631,0.8015,0.6614,0.3918,-0.0817,2.6e-03,162.2
92,3.026676,2.631870,0.2655,0.8145,0.6680,0.7340,0.3948,2.864398,2.504434,0.2901,0.6077,0.7980,0.6900,0.3600,-0.1623,2.5e-03,161.5
93,2.995541,2.612119,0.2690,0.8409,0.7078,0.7686,0.3834,2.840949,2.486744,0.2923,0.6758,0.7576,0.7144,0.3542,-0.1546,2.5e-03,162.1
94,2.995223,2.607826,0.2695,0.8478,0.7066,0.7708,0.3874,2.859958,2.503701,0.2893,0.4935,0.8132,0.6142,0.3563,-0.1353,2.5e-03,161.5
95,2.997312,2.608621,0.2695,0.8531,0.7242,0.7834,0.3887,2.848847,2.493213,0.2930,0.6599,0.7893,0.7188,0.3556,-0.1485,2.5e-03,162.1
96,3.005608,2.609703,0.2693,0.8449,0.7155,0.7748,0.3959,2.848997,2.489677,0.2932,0.6383,0.8093,0.7137,0.3593,-0.1566,2.4e-03,161.5
97,2.975206,2.589843,0.2726,0.8622,0.7506,0.8025,0.3854,2.832469,2.478096,0.2942,0.6553,0.8171,0.7273,0.3544,-0.1427,2.4e-03,162.2
98,2.953459,2.581360,0.2740,0.8645,0.7515,0.8040,0.3721,2.832128,2.478305,0.2942,0.6170,0.8502,0.7151,0.3538,-0.1213,2.4e-03,161.8
99,2.956539,2.588853,0.2727,0.8607,0.7358,0.7933,0.3677,2.833469,2.483583,0.2940,0.6083,0.8083,0.6942,0.3499,-0.1231,2.3e-03,162.3
100,2.953185,2.587522,0.2730,0.8520,0.7378,0.7908,0.3657,2.825393,2.490842,0.2928,0.6620,0.7824,0.7172,0.3346,-0.1278,2.3e-03,161.8
101,2.944540,2.583408,0.2739,0.8567,0.7453,0.7971,0.3611,2.811172,2.474999,0.2952,0.6064,0.8356,0.7028,0.3362,-0.1334,2.3e-03,162.3
102,3.001540,2.596669,0.2717,0.8466,0.7099,0.7722,0.4049,2.839143,2.469949,0.2968,0.7037,0.7888,0.7438,0.3692,-0.1624,2.3e-03,161.8
103,2.958365,2.575490,0.2753,0.8623,0.7516,0.8032,0.3829,2.861035,2.498208,0.2918,0.7311,0.6922,0.7111,0.3628,-0.0973,2.2e-03,162.2
104,2.952320,2.573035,0.2754,0.8648,0.7586,0.8082,0.3793,2.823590,2.472396,0.2959,0.6184,0.8410,0.7127,0.3512,-0.1287,2.2e-03,161.8
