epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s,fsq_train_total,train_recon,train_slow,train_unif,fsq_val_total,val_recon,val_slow,val_unif,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,gamma_0,gamma_1,gamma_2,gamma_3
49,1.752155,1.752155,0.4056,0.6625,0.1820,0.2855,0.0000,1.737648,1.737648,0.4069,0.2664,0.2780,0.2721,0.0000,-0.0145,3.5e-03,214.5,20.792427,20.742920,0.835649,-3.405763,21.300441,21.258030,0.767169,-3.430557,0.5080,9.999999e-01,7.130715e-02,8.9e-04,1.875531,1.909615,1.197449,1.896973
50,1.752464,1.752464,0.4057,0.6654,0.1825,0.2864,0.0000,1.794726,1.794726,0.3926,0.3682,0.1976,0.2571,0.0000,0.0423,3.5e-03,215.1,20.737418,20.687196,0.843059,-3.408403,20.476784,20.432487,0.787922,-3.449477,-0.2606,9.999999e-01,7.063770e-02,8.8e-04,1.882582,1.917080,1.213667,1.904263
51,1.758623,1.758623,0.4045,0.6678,0.1919,0.2981,0.0000,1.761916,1.761916,0.4024,0.3081,0.2780,0.2923,0.0000,0.0033,3.5e-03,215.1,20.709299,20.658333,0.851135,-3.414774,21.676296,21.632299,0.784694,-3.447237,0.9670,9.999999e-01,7.319176e-02,8.8e-04,1.884277,1.919244,1.212678,1.906203
52,1.755850,1.755850,0.4051,0.6605,0.1951,0.3013,0.0000,1.742126,1.742126,0.4072,0.3756,0.1878,0.2504,0.0000,-0.0137,3.5e-03,214.5,20.738091,20.686855,0.853836,-3.414789,20.543952,20.495750,0.826918,-3.448994,-0.1941,9.999999e-01,7.293227e-02,8.7e-04,1.887971,1.923155,1.191071,1.910177
53,1.754665,1.754665,0.4059,0.6661,0.1852,0.2898,0.0000,1.781352,1.781352,0.3963,0.3109,0.2366,0.2687,0.0000,0.0267,3.5e-03,215.1,20.668613,20.616135,0.866213,-3.414344,20.456675,20.409109,0.820610,-3.449502,-0.2119,9.999999e-01,7.225857e-02,8.6e-04,1.888260,1.923882,1.197846,1.911870
54,1.763130,1.763130,0.4041,0.6629,0.1936,0.2997,0.0000,1.714728,1.714728,0.4136,0.3045,0.2317,0.2632,0.0000,-0.0484,3.4e-03,215.3,20.676207,20.624700,0.856928,-3.418558,20.565353,20.519606,0.802863,-3.453929,-0.1109,9.999999e-01,7.350385e-02,8.6e-04,1.895813,1.932051,1.218386,1.919840
55,1.768391,1.768391,0.4034,0.6676,0.1947,0.3015,0.0000,1.735472,1.735472,0.4097,0.4956,0.1366,0.2141,0.0000,-0.0329,3.4e-03,214.4,20.751016,20.698579,0.866353,-3.419757,20.763352,20.713275,0.846007,-3.452399,0.0123,9.999999e-01,7.539470e-02,8.5e-04,1.899451,1.935866,1.201601,1.923829
56,1.771019,1.771019,0.4027,0.6602,0.1891,0.2940,0.0000,1.739474,1.739474,0.4077,0.4398,0.1780,0.2535,0.0000,-0.0315,3.4e-03,215.1,20.620605,20.567272,0.875388,-3.420674,21.475489,21.428699,0.814202,-3.463102,0.8549,9.999999e-01,7.352056e-02,8.5e-04,1.901738,1.938609,1.192238,1.926951
57,1.769625,1.769625,0.4032,0.6573,0.2014,0.3084,0.0000,1.806622,1.806622,0.3887,0.3792,0.2220,0.2800,0.0000,0.0370,3.4e-03,215.1,20.538645,20.484951,0.879343,-3.424058,21.160517,21.112611,0.825836,-3.467802,0.6219,9.999999e-01,7.195074e-02,8.4e-04,1.904881,1.941038,1.226656,1.929447
58,1.775660,1.775660,0.4020,0.6649,0.1932,0.2994,0.0000,1.764297,1.764297,0.4022,0.3478,0.2537,0.2934,0.0000,-0.0114,3.3e-03,214.4,20.566701,20.513887,0.870312,-3.421705,21.134346,21.088559,0.803520,-3.456472,0.5676,9.999999e-01,7.577319e-02,8.4e-04,1.906240,1.941810,1.159669,1.930230
59,1.784769,1.784769,0.4010,0.6543,0.2102,0.3181,0.0000,1.797641,1.797641,0.3944,0.4265,0.2122,0.2834,0.0000,0.0129,3.3e-03,214.4,20.540681,20.487354,0.874330,-3.410606,20.439731,20.394992,0.793864,-3.464751,-0.1010,9.999999e-01,7.295656e-02,8.3e-04,1.913153,1.948803,1.206769,1.937305
60,1.790865,1.790865,0.3998,0.6748,0.2073,0.3172,0.0000,1.881314,1.881314,0.3822,0.2948,0.3049,0.2998,0.0000,0.0904,3.3e-03,215.1,20.509253,20.456849,0.864744,-3.407112,21.263252,21.220008,0.780028,-3.475933,0.7540,9.999999e-01,7.369314e-02,8.3e-04,1.911888,1.946558,1.179692,1.934909
61,1.801722,1.801722,0.3980,0.6719,0.2065,0.3160,0.0000,1.784905,1.784905,0.4003,0.3221,0.2561,0.2853,0.0000,-0.0168,3.3e-03,215.1,20.519882,20.468170,0.859025,-3.419116,20.400586,20.353097,0.822756,-3.478636,-0.1193,9.999999e-01,7.564753e-02,8.2e-04,1.917512,1.951263,1.162081,1.938887
62,1.804310,1.804310,0.3982,0.6747,0.2183,0.3299,0.0000,1.780256,1.780256,0.3989,0.4464,0.1829,0.2595,0.0000,-0.0241,3.3e-03,214.4,20.497575,20.445652,0.862027,-3.427968,20.485095,20.440094,0.799596,-3.495798,-0.0125,9.999999e-01,7.534993e-02,8.1e-04,1.917175,1.950560,1.182332,1.937810
