epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
157,2.428889,0.456463,-3.336615,2.563070,1.2e-04,15.7
158,2.426284,0.455892,-3.337399,2.562845,1.1e-04,16.6
159,2.428561,0.456903,-3.337875,2.558161,1.1e-04,15.7
160,2.420716,0.456344,-3.338193,2.550500,1.0e-04,16.6
161,2.416722,0.456436,-3.339728,2.552127,1.0e-04,15.7
162,2.416798,0.457353,-3.340261,2.547465,9.6e-05,16.6
163,2.408920,0.455671,-3.340067,2.539936,9.1e-05,15.7
164,2.407497,0.457217,-3.341647,2.530265,8.7e-05,16.6
165,2.401278,0.456837,-3.342865,2.528158,8.3e-05,15.7
166,2.399543,0.455882,-3.341492,2.533638,7.9e-05,16.6
167,2.401205,0.457084,-3.342665,2.526339,7.5e-05,15.7
168,2.397377,0.456812,-3.343098,2.524335,7.1e-05,16.6
169,2.399625,0.456711,-3.342701,2.531161,6.8e-05,15.7
170,2.393954,0.455274,-3.342280,2.521065,6.4e-05,16.6
171,2.393041,0.457003,-3.344084,2.518192,6.0e-05,15.7
172,2.390435,0.456311,-3.343888,2.520436,5.7e-05,16.6
173,2.386851,0.456112,-3.344243,2.515846,5.4e-05,15.7
174,2.383794,0.457186,-3.344256,2.510665,5.1e-05,16.6
175,2.385393,0.456133,-3.343628,2.506659,4.8e-05,15.7
176,2.383304,0.456338,-3.344525,2.508854,4.5e-05,16.6
177,2.381411,0.456369,-3.344527,2.509173,4.2e-05,15.7
178,2.378224,0.456526,-3.344711,2.504360,3.9e-05,16.6
179,2.378383,0.456278,-3.344958,2.505307,3.7e-05,15.7
180,2.374951,0.455838,-3.345342,2.503086,3.4e-05,16.6
181,2.375781,0.457224,-3.344964,2.504724,3.2e-05,15.7
182,2.373799,0.456019,-3.345822,2.500595,3.0e-05,16.6
183,2.375371,0.456336,-3.344939,2.496608,2.8e-05,15.7
184,2.373246,0.456394,-3.345953,2.500660,2.6e-05,16.6
185,2.371325,0.456166,-3.347371,2.497603,2.4e-05,15.7
186,2.371029,0.456633,-3.346639,2.494230,2.2e-05,16.6
187,2.369947,0.456949,-3.347234,2.495180,2.0e-05,15.7
188,2.370678,0.456083,-3.347865,2.496560,1.9e-05,16.6
189,2.367038,0.455868,-3.346919,2.493033,1.7e-05,15.7
190,2.368895,0.456852,-3.347897,2.494680,1.6e-05,16.6
191,2.366526,0.456202,-3.348496,2.492099,1.5e-05,15.7
192,2.364981,0.455956,-3.346511,2.490984,1.4e-05,16.6
193,2.364396,0.455947,-3.347278,2.490949,1.3e-05,15.7
194,2.362993,0.456344,-3.347574,2.490921,1.2e-05,16.6
195,2.362829,0.456858,-3.346126,2.489542,1.2e-05,15.7
196,2.363316,0.456770,-3.346854,2.490442,1.1e-05,16.6
197,2.362116,0.456369,-3.347128,2.490853,1.1e-05,15.7
198,2.361664,0.456543,-3.346626,2.488975,1.0e-05,16.6
199,2.360780,0.457109,-3.347852,2.488125,1.0e-05,15.7
200,2.361848,0.456890,-3.346987,2.487849,1.0e-05,16.6
