epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s,fsq_train_total,train_recon,fsq_val_total,val_recon,fsq_gap,encoder_grad_rms,transformer_grad_rms,fsq_lr,train_code_usage_pct,train_code_ppl_pct,val_code_usage_pct,val_code_ppl_pct
75,2.344385,2.344385,0.3293,0.8299,0.6494,0.7287,2.252825,2.252825,0.3457,0.6102,0.7561,0.6754,-0.0916,7.3e-04,94.9,40.518856,40.518856,41.543697,41.543697,1.0248,4.429927e+01,4.429927e+01,,100.00,82.76,100.00,75.36
76,2.329893,2.329893,0.3324,0.8302,0.6484,0.7281,2.353876,2.353876,0.3255,0.5338,0.7902,0.6372,0.0240,7.2e-04,94.9,40.455376,40.455376,43.897358,43.897358,3.4420,4.744180e+01,4.744180e+01,,100.00,82.86,100.00,80.31
77,2.340402,2.340402,0.3300,0.8289,0.6582,0.7337,2.220977,2.220977,0.3528,0.5784,0.7561,0.6554,-0.1194,7.1e-04,94.9,40.594959,40.594959,39.160512,39.160512,-1.4344,4.738636e+01,4.738636e+01,,100.00,83.02,100.00,80.22
78,2.364225,2.364225,0.3251,0.8256,0.6531,0.7293,2.215429,2.215429,0.3505,0.6333,0.7415,0.6831,-0.1488,7.1e-04,95.3,40.545934,40.545934,38.763976,38.763976,-1.7820,4.156006e+01,4.156006e+01,,100.00,83.30,100.00,79.74
79,2.350846,2.350846,0.3278,0.8174,0.6491,0.7236,2.276620,2.276620,0.3398,0.6008,0.7707,0.6752,-0.0742,7.0e-04,94.8,40.360471,40.360471,40.698792,40.698792,0.3383,4.231826e+01,4.231826e+01,,100.00,82.98,100.00,79.21
80,2.340825,2.340825,0.3301,0.8356,0.6483,0.7301,2.378131,2.378131,0.3205,0.6008,0.7415,0.6638,0.0373,6.9e-04,94.9,40.118377,40.118377,42.093239,42.093239,1.9749,4.492463e+01,4.492463e+01,,100.00,83.28,100.00,77.84
81,2.360413,2.360413,0.3259,0.8319,0.6611,0.7367,2.213149,2.213149,0.3511,0.6200,0.7244,0.6682,-0.1473,6.9e-04,94.9,40.055416,40.055416,39.496403,39.496403,-0.5590,3.655072e+01,3.655072e+01,,100.00,83.57,100.00,80.68
82,2.368313,2.368313,0.3244,0.8260,0.6464,0.7253,2.251877,2.251877,0.3409,0.6559,0.6927,0.6738,-0.1164,6.8e-04,95.2,40.231533,40.231533,38.480444,38.480444,-1.7511,3.619017e+01,3.619017e+01,,100.00,83.58,100.00,79.97
83,2.362821,2.362821,0.3255,0.8276,0.6523,0.7295,2.278348,2.278348,0.3360,0.6422,0.6829,0.6619,-0.0845,6.7e-04,95.1,40.006343,40.006343,40.044177,40.044177,0.0378,3.817684e+01,3.817684e+01,,100.00,83.70,100.00,82.18
84,2.357953,2.357953,0.3256,0.8274,0.6550,0.7312,2.287184,2.287184,0.3376,0.6738,0.6902,0.6819,-0.0708,6.6e-04,95.3,39.810634,39.810634,41.728408,41.728408,1.9178,4.449866e+01,4.449866e+01,,100.00,83.83,100.00,78.36
