epoch,train_total,train_loss,train_acc,train_death_acc,train_cpc,val_total,val_loss,val_acc,val_death_acc,val_cpc,gap,lr,time_s
107,2.428999,2.399084,0.3366,0.9627,0.2991,2.505707,2.479170,0.3166,0.9676,0.2654,0.0767,5.2e-04,116.0
108,2.424867,2.394820,0.3365,0.9631,0.3005,2.494978,2.470813,0.3190,0.9677,0.2417,0.0701,5.1e-04,116.3
109,2.431192,2.400961,0.3355,0.9617,0.3023,2.495378,2.469920,0.3189,0.9731,0.2546,0.0642,5.0e-04,116.4
110,2.412694,2.382336,0.3381,0.9626,0.3036,2.486225,2.461583,0.3201,0.9737,0.2464,0.0735,5.0e-04,115.9
111,2.418779,2.388636,0.3389,0.9633,0.3014,2.486318,2.461177,0.3198,0.9757,0.2514,0.0675,4.9e-04,116.3
112,2.421461,2.391483,0.3387,0.9638,0.2998,2.485625,2.460028,0.3204,0.9747,0.2560,0.0642,4.8e-04,116.3
113,2.414359,2.384400,0.3382,0.9602,0.2996,2.484064,2.458677,0.3208,0.9686,0.2539,0.0697,4.7e-04,116.0
114,2.414902,2.384958,0.3391,0.9640,0.2994,2.483380,2.458480,0.3216,0.9735,0.2490,0.0685,4.7e-04,116.3
115,2.410116,2.380051,0.3414,0.9646,0.3007,2.500112,2.475070,0.3183,0.9707,0.2504,0.0900,4.6e-04,116.4
116,2.414624,2.384468,0.3394,0.9637,0.3016,2.492924,2.468717,0.3189,0.9757,0.2421,0.0783,4.5e-04,115.9
117,2.416435,2.386197,0.3396,0.9645,0.3024,2.488830,2.463894,0.3196,0.9744,0.2494,0.0724,4.5e-04,116.4
118,2.404285,2.374274,0.3422,0.9633,0.3001,2.474647,2.449420,0.3240,0.9692,0.2523,0.0704,4.4e-04,116.3
119,2.405442,2.375717,0.3412,0.9645,0.2972,2.470108,2.444933,0.3233,0.9744,0.2517,0.0647,4.3e-04,116.0
120,2.406511,2.376808,0.3414,0.9648,0.2970,2.484928,2.459659,0.3217,0.9726,0.2527,0.0784,4.2e-04,116.3
121,2.397944,2.367915,0.3443,0.9657,0.3003,2.489223,2.464098,0.3201,0.9774,0.2513,0.0913,4.2e-04,116.4
122,2.405659,2.375695,0.3424,0.9654,0.2996,2.480535,2.455057,0.3210,0.9746,0.2548,0.0749,4.1e-04,115.9
123,2.398025,2.368166,0.3433,0.9643,0.2986,2.483775,2.458720,0.3206,0.9715,0.2506,0.0858,4.0e-04,116.3
124,2.389819,2.359838,0.3455,0.9654,0.2998,2.467994,2.442658,0.3245,0.9755,0.2534,0.0782,4.0e-04,116.3
125,2.401228,2.371284,0.3444,0.9652,0.2994,2.464407,2.439658,0.3247,0.9724,0.2475,0.0632,3.9e-04,115.9
126,2.391490,2.361724,0.3447,0.9650,0.2977,2.471520,2.446866,0.3242,0.9690,0.2465,0.0800,3.8e-04,116.3
127,2.387011,2.357222,0.3461,0.9660,0.2979,2.462440,2.437884,0.3248,0.9715,0.2456,0.0754,3.8e-04,116.3
128,2.384269,2.354556,0.3456,0.9659,0.2971,2.456667,2.431756,0.3259,0.9750,0.2491,0.0724,3.7e-04,115.8
129,2.384288,2.354558,0.3477,0.9657,0.2973,2.456494,2.432104,0.3260,0.9708,0.2439,0.0722,3.6e-04,116.3
130,2.388154,2.358554,0.3461,0.9650,0.2960,2.461244,2.436484,0.3252,0.9756,0.2476,0.0731,3.6e-04,115.8
131,2.377067,2.347480,0.3486,0.9652,0.2959,2.469912,2.445090,0.3258,0.9662,0.2482,0.0928,3.5e-04,116.3
132,2.376670,2.346917,0.3472,0.9653,0.2975,2.463183,2.438743,0.3251,0.9719,0.2444,0.0865,3.4e-04,116.3
133,2.374610,2.344816,0.3495,0.9663,0.2979,2.457857,2.432735,0.3265,0.9743,0.2512,0.0832,3.4e-04,115.9
134,2.372971,2.343263,0.3495,0.9657,0.2971,2.462751,2.437502,0.3253,0.9734,0.2525,0.0898,3.3e-04,116.4
135,2.368607,2.338938,0.3505,0.9659,0.2967,2.458826,2.433864,0.3263,0.9732,0.2496,0.0902,3.3e-04,116.5
136,2.374592,2.344956,0.3493,0.9645,0.2964,2.459236,2.433957,0.3268,0.9704,0.2528,0.0846,3.2e-04,115.8
137,2.369224,2.339701,0.3498,0.9653,0.2952,2.454151,2.429164,0.3270,0.9731,0.2499,0.0849,3.1e-04,116.2
138,2.361732,2.332146,0.3519,0.9668,0.2959,2.454846,2.430159,0.3275,0.9712,0.2469,0.0931,3.1e-04,116.2
139,2.368605,2.339041,0.3513,0.9676,0.2956,2.458598,2.433481,0.3262,0.9749,0.2512,0.0900,3.0e-04,115.9
140,2.361896,2.332263,0.3524,0.9661,0.2963,2.447979,2.423274,0.3293,0.9740,0.2470,0.0861,2.9e-04,116.2
141,2.363681,2.334152,0.3516,0.9660,0.2953,2.451304,2.425817,0.3295,0.9733,0.2549,0.0876,2.9e-04,116.3
142,2.368712,2.339264,0.3509,0.9664,0.2945,2.450865,2.425825,0.3272,0.9721,0.2504,0.0822,2.8e-04,115.8
143,2.360454,2.330974,0.3522,0.9667,0.2948,2.438051,2.413435,0.3303,0.9771,0.2462,0.0776,2.8e-04,116.3
144,2.354074,2.324506,0.3528,0.9660,0.2957,2.441972,2.417492,0.3300,0.9742,0.2448,0.0879,2.7e-04,116.2
145,2.347366,2.317807,0.3543,0.9671,0.2956,2.443611,2.418418,0.3302,0.9749,0.2519,0.0962,2.7e-04,115.9
146,2.355118,2.325761,0.3546,0.9676,0.2936,2.452678,2.427976,0.3281,0.9734,0.2470,0.0976,2.6e-04,116.2
147,2.353983,2.324638,0.3530,0.9666,0.2935,2.442556,2.417739,0.3302,0.9733,0.2482,0.0886,2.5e-04,116.3
148,2.355111,2.325773,0.3549,0.9678,0.2934,2.454127,2.428608,0.3270,0.9728,0.2552,0.0990,2.5e-04,115.8
149,2.352826,2.323474,0.3531,0.9659,0.2935,2.438347,2.413748,0.3303,0.9758,0.2460,0.0855,2.4e-04,116.3
150,2.340841,2.311333,0.3571,0.9680,0.2951,2.445093,2.420447,0.3285,0.9750,0.2465,0.1043,2.4e-04,116.2
151,2.336275,2.306987,0.3573,0.9677,0.2929,2.444321,2.419556,0.3298,0.9807,0.2476,0.1080,2.3e-04,115.9
152,2.346353,2.317109,0.3567,0.9676,0.2924,2.439291,2.414733,0.3308,0.9730,0.2456,0.0929,2.3e-04,116.2
153,2.344040,2.314989,0.3573,0.9676,0.2905,2.436476,2.412374,0.3309,0.9749,0.2410,0.0924,2.2e-04,115.9
154,2.339903,2.310905,0.3571,0.9681,0.2900,2.432109,2.408347,0.3314,0.9741,0.2376,0.0922,2.2e-04,116.2
155,2.341904,2.312903,0.3575,0.9681,0.2900,2.440471,2.416078,0.3307,0.9723,0.2439,0.0986,2.1e-04,116.2
156,2.348641,2.319744,0.3564,0.9676,0.2890,2.427231,2.402775,0.3326,0.9760,0.2446,0.0786,2.1e-04,115.7
