iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
266,26.09,19.6548,172.5335,44.5652,0.4583,1.0e-04,,,6.1
267,24.59,18.0615,174.8850,42.7917,0.4588,1.0e-04,,,3.5
268,26.53,20.0557,174.4317,47.2690,0.4514,1.0e-04,,,3.5
269,26.23,19.8242,200.3567,46.9837,0.4519,1.0e-04,,,6.1
270,25.81,19.5200,187.1377,47.9943,0.4545,1.0e-04,25.70,0.43,3.5
271,24.96,18.6152,193.9384,46.7784,0.4566,1.0e-04,,,5.2
272,25.02,18.7529,174.2792,46.0966,0.4640,1.0e-04,,,3.5
273,26.27,19.6948,209.2665,49.7011,0.4577,1.0e-04,,,6.2
274,26.15,19.6841,183.4002,49.7473,0.4513,1.0e-04,,,3.5
275,25.80,19.5493,201.1994,50.9972,0.4492,1.0e-04,,,3.5
276,25.55,19.3774,181.5649,47.3864,0.4541,1.0e-04,,,5.2
277,23.96,17.8452,204.4389,44.8065,0.4513,1.0e-04,,,6.3
278,25.59,19.4146,169.8116,44.9432,0.4560,1.0e-04,,,3.5
279,24.38,18.1758,156.0501,44.0357,0.4564,1.0e-04,,,5.2
280,25.42,19.3398,166.2339,46.5028,0.4464,1.0e-04,25.65,0.39,3.5
281,25.73,19.5161,186.9073,49.0057,0.4483,1.0e-04,,,6.1
282,26.39,19.9351,192.8522,48.9946,0.4478,1.0e-04,,,5.2
283,25.32,19.0386,192.6331,49.2727,0.4550,1.0e-04,,,6.1
284,25.79,19.5049,186.2590,44.7358,0.4591,1.0e-04,,,3.5
285,25.62,19.1689,185.2479,45.9744,0.4602,1.0e-04,,,3.5
286,25.95,19.6704,183.2031,46.1141,0.4638,1.0e-04,,,6.5
287,25.92,19.3955,181.9215,47.8397,0.4606,1.0e-04,,,3.5
288,26.61,20.1436,192.1163,49.2853,0.4586,1.0e-04,,,3.5
289,25.61,19.3286,206.1748,47.9034,0.4595,1.0e-04,,,6.0
290,25.75,19.4067,193.4302,48.1989,0.4588,1.0e-04,25.91,0.39,6.1
291,25.28,19.0610,200.6157,48.7074,0.4581,1.0e-04,,,3.5
292,25.91,19.4810,198.8896,46.4402,0.4665,1.0e-04,,,3.5
293,25.54,19.0967,185.6692,45.0625,0.4689,1.0e-04,,,5.2
294,25.08,18.6162,184.6031,49.0341,0.4553,1.0e-04,,,3.5
295,26.54,19.8223,206.7154,47.8641,0.4644,1.0e-04,,,3.5
296,26.52,19.9834,182.6301,45.9266,0.4677,1.0e-04,,,5.2
297,25.74,19.4648,167.9388,46.2983,0.4685,1.0e-04,,,6.1
298,26.41,19.9380,185.4400,46.7038,0.4669,1.0e-04,,,5.2
299,26.05,19.4502,185.5759,47.3179,0.4619,1.0e-04,,,5.2
300,25.49,18.9810,190.3731,46.6165,0.4645,1.0e-04,26.07,0.45,5.2
301,25.81,19.3999,200.2886,52.3864,0.4582,1.0e-04,,,6.1
302,25.10,18.7192,212.4707,48.6534,0.4666,1.0e-04,,,6.1
303,25.96,19.5840,194.2347,49.9538,0.4678,1.0e-04,,,3.5
304,25.61,19.1733,202.5232,49.7415,0.4670,1.0e-04,,,3.5
305,24.79,18.5054,203.5992,46.7143,0.4655,1.0e-04,,,6.1
306,25.63,19.4468,189.4639,47.7642,0.4667,1.0e-04,,,3.5
307,25.52,19.2461,195.2292,48.7216,0.4659,1.0e-04,,,3.5
308,25.41,18.8579,202.6821,48.1193,0.4724,1.0e-04,,,3.5
309,25.08,18.4131,182.8924,49.4602,0.4701,1.0e-04,,,3.5
310,24.33,17.8770,178.4334,46.9286,0.4746,1.0e-04,26.13,0.45,6.1
311,26.32,19.7544,194.0628,47.7989,0.4630,1.0e-04,,,6.0
312,24.56,18.3203,192.9948,49.4196,0.4629,1.0e-04,,,6.0
313,25.53,19.1670,197.8890,49.7756,0.4611,1.0e-04,,,5.2
314,25.96,19.4932,198.6182,49.3533,0.4556,1.0e-04,,,5.2
315,26.04,19.4351,180.3519,49.0543,0.4675,1.0e-04,,,5.2
316,26.06,19.6045,201.1483,47.4402,0.4631,1.0e-04,,,3.5
317,25.30,18.8975,180.9855,46.5739,0.4684,1.0e-04,,,6.1
318,24.85,18.6108,185.8376,46.5476,0.4663,1.0e-04,,,6.2
319,25.14,19.0391,192.5236,46.7330,0.4653,1.0e-04,,,3.5
320,24.96,18.6807,189.5139,44.5938,0.4729,1.0e-04,25.73,0.38,3.5
321,25.11,18.9180,198.0001,47.6648,0.4652,1.0e-04,,,3.5
322,25.57,19.1299,194.8330,45.1335,0.4740,1.0e-04,,,3.5
323,25.79,19.2695,185.3468,46.4205,0.4682,1.0e-04,,,6.2
324,26.58,20.2603,184.7796,48.2255,0.4711,1.0e-04,,,5.3
325,24.97,18.6953,177.4289,45.9858,0.4684,1.0e-04,,,6.4
326,24.67,18.5449,178.3603,44.5714,0.4784,1.0e-04,,,6.1
327,25.96,19.6577,158.5810,41.7500,0.4844,1.0e-04,,,3.6
328,26.62,20.0098,186.7133,47.1658,0.4797,1.0e-04,,,6.1
329,25.08,18.5010,174.4283,45.6960,0.4771,1.0e-04,,,5.2
330,26.90,20.3511,172.2657,45.9185,0.4737,1.0e-04,25.91,0.39,6.2
331,25.75,19.4111,173.2129,41.7273,0.4744,1.0e-04,,,3.5
332,25.66,19.3760,171.4778,46.2983,0.4737,1.0e-04,,,6.1
333,26.55,20.0547,186.7794,46.8913,0.4777,1.0e-04,,,3.6
334,26.15,19.5513,173.0124,47.4185,0.4731,1.0e-04,,,3.5
335,25.90,19.4170,182.2401,43.6875,0.4777,1.0e-04,,,6.1
336,24.52,18.0981,176.3020,44.8750,0.4792,1.0e-04,,,3.5
337,27.30,20.5073,173.4326,46.6641,0.4805,1.0e-04,,,3.6
338,26.17,19.5884,166.4621,45.1196,0.4766,1.0e-04,,,6.1
339,25.22,18.9326,152.3520,44.1619,0.4768,1.0e-04,,,6.0
340,25.62,19.1636,160.7808,44.2869,0.4775,1.0e-04,26.30,0.45,6.2
341,25.00,18.5923,183.9801,43.0852,0.4753,1.0e-04,,,5.2
342,24.99,18.3594,137.6375,40.1335,0.4855,1.0e-04,,,3.5
343,27.15,20.3354,143.9646,43.0833,0.4837,1.0e-04,,,6.1
344,25.67,19.2129,189.2562,45.0540,0.4815,1.0e-04,,,3.5
345,25.59,19.0947,166.1485,46.3835,0.4816,1.0e-04,,,3.5
346,24.01,17.7524,171.8194,42.5298,0.4867,1.0e-04,,,3.5
347,25.30,18.9517,158.1414,40.7926,0.4767,1.0e-04,,,3.5
348,25.08,18.7183,136.9720,42.1591,0.4818,1.0e-04,,,3.5
