epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,gap,lr,time_s
148,2.324403,2.324403,0.3306,0.9379,0.9070,0.9222,2.628206,2.628206,0.2984,0.6346,0.9132,0.7488,0.3038,3.7e-04,76.0
149,2.323744,2.323744,0.3308,0.9331,0.9025,0.9176,2.620966,2.620966,0.2995,0.7024,0.8922,0.7860,0.2972,3.6e-04,75.9
150,2.321915,2.321915,0.3311,0.9361,0.9023,0.9189,2.632692,2.632692,0.2985,0.7128,0.8741,0.7853,0.3108,3.5e-04,76.2
151,2.318889,2.318889,0.3317,0.9378,0.9038,0.9205,2.621448,2.621448,0.2995,0.6851,0.8927,0.7753,0.3026,3.4e-04,75.9
152,2.318779,2.318779,0.3316,0.9364,0.9030,0.9194,2.624068,2.624068,0.2992,0.7062,0.8898,0.7874,0.3053,3.3e-04,76.2
153,2.316215,2.316215,0.3323,0.9377,0.9026,0.9198,2.631176,2.631176,0.2992,0.6919,0.8883,0.7779,0.3150,3.2e-04,75.9
154,2.312821,2.312821,0.3329,0.9387,0.9022,0.9201,2.629045,2.629045,0.2991,0.6930,0.8932,0.7805,0.3162,3.1e-04,75.9
155,2.311614,2.311614,0.3330,0.9369,0.9063,0.9213,2.626795,2.626795,0.2992,0.6819,0.9034,0.7772,0.3152,3.0e-04,76.2
156,2.310709,2.310709,0.3334,0.9377,0.9059,0.9215,2.632000,2.632000,0.2991,0.6934,0.8902,0.7796,0.3213,2.8e-04,76.2
157,2.308665,2.308665,0.3335,0.9369,0.9070,0.9217,2.628421,2.628421,0.2997,0.6408,0.9127,0.7529,0.3198,2.7e-04,76.1
158,2.309182,2.309182,0.3337,0.9366,0.9042,0.9201,2.618326,2.618326,0.3005,0.6988,0.8829,0.7802,0.3091,2.6e-04,75.8
159,2.306125,2.306125,0.3341,0.9405,0.9071,0.9235,2.625905,2.625905,0.2998,0.6332,0.9146,0.7484,0.3198,2.6e-04,76.2
160,2.303763,2.303763,0.3348,0.9377,0.9043,0.9207,2.625931,2.625931,0.3002,0.6491,0.9112,0.7581,0.3222,2.5e-04,75.9
161,2.303362,2.303362,0.3347,0.9366,0.9050,0.9205,2.627561,2.627561,0.3000,0.7145,0.8922,0.7935,0.3242,2.4e-04,75.9
162,2.300902,2.300902,0.3350,0.9397,0.9059,0.9224,2.624273,2.624273,0.3004,0.6658,0.8961,0.7640,0.3234,2.3e-04,75.9
