iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
208,24.07,18.6465,21.2846,21.9329,0.1920,1.0e-04,,,10.2
209,25.20,19.6488,24.3671,21.8965,0.1976,1.0e-04,,,10.2
210,23.00,17.6359,21.9232,22.1772,0.1876,1.0e-04,23.85,0.39,10.1
211,24.04,18.6184,24.1771,22.1865,0.1949,1.0e-04,,,10.2
212,25.49,19.9355,24.4165,22.0484,0.1894,1.0e-04,,,10.2
213,24.78,19.2531,24.1487,22.2960,0.1808,1.0e-04,,,10.2
214,25.12,19.5602,24.1220,22.3299,0.1918,1.0e-04,,,10.2
215,24.66,19.1461,22.9420,22.0483,0.1934,1.0e-04,,,10.2
216,25.13,19.5965,23.8642,21.8702,0.1915,1.0e-04,,,10.2
217,25.12,19.5719,23.9139,21.9846,0.1899,1.0e-04,,,10.2
218,24.90,19.3273,24.8525,22.4404,0.2001,1.0e-04,,,10.2
219,23.87,18.3844,22.4807,22.3877,0.1988,1.0e-04,,,10.2
220,25.57,19.9766,23.5259,22.0464,0.1955,1.0e-04,24.39,0.41,10.2
221,23.94,18.4641,22.7271,22.1008,0.2020,1.0e-04,,,10.2
222,25.12,19.4418,23.2012,22.1162,0.2009,1.0e-04,,,10.2
223,24.03,18.4719,23.4009,22.1243,0.1963,1.0e-04,,,10.2
224,25.26,19.5422,23.8366,22.0028,0.2027,1.0e-04,,,10.2
225,23.87,18.3102,24.0411,22.1074,0.2015,1.0e-04,,,10.1
226,24.68,19.0215,22.7916,22.1916,0.2040,1.0e-04,,,10.2
227,25.42,19.6727,23.1865,21.8706,0.2017,1.0e-04,,,10.2
228,26.28,20.5309,24.9165,21.9028,0.2034,1.0e-04,,,10.2
229,25.05,19.4004,23.9125,22.0404,0.1994,1.0e-04,,,10.2
230,25.24,19.5590,22.8555,21.8992,0.1914,1.0e-04,24.89,0.43,10.2
231,25.58,19.8984,24.0864,21.8892,0.2024,1.0e-04,,,10.2
232,25.88,20.1426,23.8753,21.8351,0.2066,1.0e-04,,,10.2
233,24.62,19.0328,22.7749,21.8782,0.2060,1.0e-04,,,10.2
234,24.53,18.9496,22.1451,22.2376,0.1983,1.0e-04,,,10.2
235,24.12,18.5301,22.6856,21.9229,0.2010,1.0e-04,,,10.2
236,24.92,19.2945,22.6291,21.7431,0.2077,1.0e-04,,,10.2
237,25.63,19.9824,24.4297,21.9021,0.2070,1.0e-04,,,10.2
