epoch,train_loss,train_recon,train_vq,val_loss,val_recon,val_vq,lr,time_s
185,3.146980,2.753391,0.393588,3.126508,2.750556,0.375952,3.7e-05,14.4
186,3.148453,2.756530,0.391923,3.134999,2.757178,0.377821,3.4e-05,14.1
187,3.138733,2.748938,0.389794,3.125791,2.739165,0.386626,3.1e-05,14.7
188,3.141062,2.751621,0.389440,3.109271,2.747360,0.361911,2.8e-05,14.2
189,3.143409,2.752360,0.391048,3.122752,2.736044,0.386708,2.5e-05,14.5
190,3.141182,2.750433,0.390749,3.115621,2.739237,0.376383,2.2e-05,14.6
191,3.138468,2.747627,0.390840,3.113960,2.737999,0.375960,2.0e-05,14.0
192,3.143768,2.749944,0.393824,3.120304,2.745968,0.374336,1.8e-05,13.9
193,3.139710,2.745783,0.393927,3.102438,2.731993,0.370445,1.6e-05,14.7
194,3.133864,2.739774,0.394090,3.117065,2.737144,0.379922,1.4e-05,14.8
195,3.134084,2.743219,0.390865,3.118088,2.744139,0.373949,1.3e-05,14.3
196,3.135911,2.746554,0.389357,3.119610,2.741671,0.377940,1.2e-05,14.3
197,3.133547,2.742786,0.390761,3.105176,2.733644,0.371533,1.1e-05,14.7
198,3.139210,2.748188,0.391022,3.125576,2.745577,0.379998,1.0e-05,14.6
199,3.137570,2.744162,0.393408,3.132640,2.743790,0.388849,1.0e-05,14.2
200,3.131087,2.738571,0.392516,3.123072,2.742148,0.380924,1.0e-05,14.4
