generation,best_fitness,mean_fitness,median_fitness,sigma,time_s
248,10.06,9.52,9.67,0.4607,16.5
249,10.55,9.88,9.95,0.4601,16.5
250,10.36,9.58,9.73,0.4588,16.5
251,10.47,9.77,10.13,0.4577,16.5
252,11.62,10.55,10.67,0.4576,16.5
253,9.75,9.11,9.16,0.4573,16.5
254,11.33,10.77,10.83,0.4569,16.5
255,10.97,10.08,10.20,0.4562,16.5
256,11.42,10.06,10.06,0.4556,16.5
257,10.67,9.87,9.98,0.4549,16.5
258,11.56,10.35,10.77,0.4539,16.5
259,11.27,10.16,10.28,0.4530,16.5
260,9.16,8.27,8.34,0.4521,16.5
261,10.69,9.51,9.35,0.4520,16.5
262,10.72,9.52,9.60,0.4520,16.5
263,10.75,9.86,10.21,0.4518,16.5
264,10.31,9.47,9.55,0.4514,16.5
265,9.70,8.79,9.09,0.4516,16.5
266,10.25,9.29,9.28,0.4515,16.5
267,10.20,8.98,8.94,0.4509,16.5
268,10.19,9.46,9.48,0.4507,16.5
269,10.73,9.56,9.94,0.4502,16.5
270,10.22,9.42,9.58,0.4497,16.5
271,11.22,10.61,10.73,0.4489,16.5
272,10.62,9.98,10.20,0.4482,16.5
273,11.36,10.41,10.42,0.4478,16.5
274,9.83,9.17,9.30,0.4472,16.5
275,8.98,8.36,8.52,0.4471,16.5
276,9.67,8.94,9.28,0.4468,16.5
277,9.88,9.28,9.45,0.4471,16.5
278,11.33,10.19,10.40,0.4476,16.5
279,10.72,10.05,10.33,0.4482,16.5
280,11.59,10.99,11.23,0.4484,16.5
281,10.33,8.81,8.99,0.4492,16.5
282,10.84,10.09,10.27,0.4501,16.5
283,11.59,10.64,10.70,0.4509,16.5
284,10.34,9.79,9.90,0.4517,16.5
285,12.50,11.72,12.10,0.4521,16.5
286,11.08,10.01,10.00,0.4522,16.5
287,9.81,8.80,8.97,0.4524,16.5
288,10.75,10.23,10.47,0.4527,16.5
289,10.45,9.35,9.40,0.4528,16.5
290,10.70,9.99,9.94,0.4531,16.5
291,11.31,10.44,10.44,0.4533,16.5
292,10.86,10.07,10.23,0.4534,16.5
293,11.03,9.65,9.45,0.4528,16.5
294,10.05,9.46,9.59,0.4519,16.5
295,9.41,8.55,8.56,0.4509,16.5
296,10.34,9.71,9.91,0.4499,16.5
297,10.44,9.88,10.01,0.4491,16.5
298,9.78,8.79,8.91,0.4475,16.5
299,9.83,9.13,9.17,0.4461,16.5
300,10.47,9.71,9.84,0.4445,16.5
301,11.22,10.41,10.55,0.4432,16.5
302,9.89,8.63,8.61,0.4418,16.5
303,10.56,9.94,10.06,0.4401,16.5
304,10.23,9.59,9.90,0.4385,16.5
305,9.94,9.54,9.51,0.4374,16.5
306,10.86,10.13,10.21,0.4362,16.5
307,9.83,9.17,9.16,0.4354,16.5
308,10.78,9.81,10.27,0.4348,16.5
309,10.64,10.14,10.20,0.4344,16.5
310,10.58,9.74,10.12,0.4345,16.5
311,11.02,10.54,10.74,0.4344,16.5
312,10.83,10.11,10.47,0.4347,16.5
313,11.30,10.68,10.88,0.4346,16.5
314,8.94,8.35,8.31,0.4345,16.5
315,10.12,9.49,9.46,0.4343,16.5
316,10.36,9.81,10.00,0.4343,16.5
317,10.20,9.57,9.68,0.4343,16.5
318,10.70,10.10,10.28,0.4344,16.5
319,10.84,10.03,10.08,0.4343,16.5
320,10.12,9.19,9.48,0.4343,16.5
321,12.38,11.64,11.88,0.4344,16.5
322,10.72,9.78,9.79,0.4348,16.5
323,10.06,9.38,9.53,0.4353,16.5
324,9.50,8.69,8.84,0.4357,16.5
325,10.62,9.97,10.08,0.4360,16.5
326,9.52,8.90,9.16,0.4360,16.5
327,9.86,9.25,9.39,0.4355,16.5
328,11.05,9.87,10.04,0.4347,16.5
329,11.05,10.18,10.39,0.4344,16.5
330,11.20,10.72,10.97,0.4342,16.5
331,11.03,10.41,10.59,0.4335,16.5
332,10.33,9.73,9.80,0.4330,16.5
333,11.61,11.07,11.29,0.4328,16.5
334,9.53,8.87,8.97,0.4332,16.5
335,10.19,9.61,9.70,0.4335,16.5
336,10.06,9.20,9.30,0.4339,16.5
337,11.34,10.73,10.97,0.4340,16.5
338,11.33,10.59,10.63,0.4339,16.5
339,12.17,11.49,11.80,0.4337,16.5
340,10.09,9.29,9.38,0.4331,16.5
341,9.86,9.20,9.12,0.4327,16.5
342,10.16,9.45,9.53,0.4323,16.5
343,10.44,9.75,10.00,0.4316,16.5
344,10.05,9.18,9.38,0.4310,16.5
345,10.23,9.86,9.90,0.4303,16.5
346,9.44,8.89,8.90,0.4303,16.5
347,10.41,9.94,9.98,0.4301,16.5
348,10.05,8.96,8.90,0.4298,16.5
349,10.91,10.36,10.45,0.4294,16.5
350,9.95,9.37,9.63,0.4293,16.5
351,10.98,9.81,10.21,0.4287,16.5
352,9.42,9.04,9.15,0.4276,16.5
353,10.73,9.79,10.02,0.4268,16.5
354,10.11,9.41,9.29,0.4263,16.5
355,9.95,9.44,9.57,0.4260,16.5
356,10.52,9.74,9.73,0.4257,16.5
357,10.81,10.25,10.33,0.4259,16.5
358,10.33,9.86,9.89,0.4258,16.5
359,9.78,8.97,8.88,0.4261,16.5
360,11.14,10.55,10.47,0.4266,16.5
361,10.33,9.82,9.82,0.4273,16.5
362,11.42,10.60,10.78,0.4279,16.5
363,10.31,9.83,9.90,0.4285,16.5
364,10.28,9.61,9.53,0.4289,16.5
365,11.20,10.49,10.45,0.4292,16.5
366,9.92,9.32,9.46,0.4294,16.5
367,9.64,8.68,8.59,0.4292,16.5
368,11.30,10.67,11.02,0.4288,16.5
369,9.61,8.88,9.05,0.4288,16.5
370,10.47,9.87,10.06,0.4289,16.5
371,10.80,10.09,10.18,0.4289,16.5
372,10.50,10.02,10.20,0.4286,16.5
373,10.89,10.26,10.47,0.4283,16.5
374,10.36,9.39,9.64,0.4279,16.5
375,11.05,10.24,10.48,0.4274,16.5
376,10.34,9.50,9.78,0.4267,16.5
377,11.20,10.42,10.77,0.4254,16.5
378,11.09,10.65,10.84,0.4241,16.5
379,10.08,9.39,9.39,0.4229,16.5
380,11.34,10.70,10.80,0.4218,16.5
381,11.34,10.38,10.72,0.4204,16.5
382,9.94,8.99,9.27,0.4195,16.5
383,9.89,9.41,9.52,0.4188,16.5
384,10.28,9.73,9.87,0.4184,16.5
385,9.50,8.92,9.07,0.4183,16.5
386,11.50,10.98,11.09,0.4183,16.5
387,12.14,11.12,11.23,0.4178,16.5
388,12.08,11.48,11.47,0.4176,16.5
389,10.17,9.62,9.79,0.4174,16.5
390,10.56,10.00,10.09,0.4169,16.5
391,11.20,10.59,10.77,0.4165,16.5
392,10.97,10.15,10.53,0.4162,16.5
393,9.08,8.56,8.62,0.4154,16.5
394,10.36,9.83,9.77,0.4150,16.5
395,12.22,11.26,11.54,0.4146,16.5
396,10.28,9.51,9.66,0.4147,16.5
397,8.73,8.10,8.06,0.4142,16.5
398,10.67,10.23,10.20,0.4139,16.5
399,11.50,10.65,10.95,0.4131,16.5
400,10.89,10.09,10.48,0.4130,16.5
401,10.62,10.06,10.09,0.4130,16.5
402,10.25,9.68,9.73,0.4135,16.5
403,10.42,9.94,10.15,0.4148,16.5
404,11.80,10.95,11.24,0.4161,16.5
405,10.03,9.28,9.27,0.4170,16.5
406,10.19,9.70,9.95,0.4177,16.5
407,10.45,9.73,9.82,0.4186,16.5
408,10.73,9.86,10.07,0.4198,16.5
409,9.91,9.38,9.49,0.4210,16.5
410,9.77,8.58,8.88,0.4219,16.5
411,11.33,10.70,10.74,0.4230,16.5
412,12.02,11.28,11.59,0.4239,16.5
413,10.02,9.32,9.58,0.4245,16.5
414,11.33,9.76,9.45,0.4253,16.5
415,11.73,10.92,10.97,0.4259,16.5
416,10.53,10.05,10.14,0.4266,16.5
417,11.31,10.41,10.43,0.4276,16.5
418,9.83,9.04,9.16,0.4287,16.5
419,10.62,9.93,9.91,0.4293,16.5
420,12.50,11.94,12.05,0.4300,16.5
421,11.00,10.24,10.35,0.4305,16.5
422,11.56,10.75,10.83,0.4308,16.5
423,10.48,9.62,9.91,0.4311,16.5
424,8.95,8.19,8.30,0.4311,16.5
425,9.22,8.44,8.70,0.4314,16.5
426,10.94,10.28,10.51,0.4313,16.5
427,11.55,10.88,11.20,0.4310,16.5
428,10.62,9.96,10.03,0.4307,16.5
429,10.58,9.69,9.87,0.4304,16.5
430,10.77,9.99,10.12,0.4299,16.5
431,11.48,10.40,10.45,0.4298,16.5
432,11.64,11.08,11.30,0.4298,16.5
433,11.80,10.92,11.37,0.4296,16.5
434,9.80,9.06,9.16,0.4294,16.5
435,11.89,11.05,11.43,0.4296,16.5
436,10.45,9.57,9.68,0.4297,16.5
437,10.12,9.37,9.49,0.4304,16.5
438,9.61,8.78,8.88,0.4311,16.5
