epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
104,2.304102,2.269424,0.3591,0.8437,0.8583,0.8510,0.3468,2.390906,2.361296,0.3378,0.6343,0.8362,0.7214,0.2961,0.0868,1.0e-03,101.7
105,2.299231,2.264753,0.3603,0.8216,0.8348,0.8282,0.3448,2.399595,2.370629,0.3346,0.5783,0.8592,0.6913,0.2897,0.1004,1.0e-03,101.4
106,2.295446,2.261104,0.3616,0.8278,0.8553,0.8413,0.3434,2.387406,2.358399,0.3386,0.6467,0.8374,0.7298,0.2901,0.0920,1.0e-03,101.7
107,2.291544,2.257178,0.3638,0.8361,0.8617,0.8487,0.3437,2.397135,2.368119,0.3363,0.6478,0.8310,0.7281,0.2902,0.1056,9.8e-04,101.3
108,2.292446,2.258114,0.3630,0.8462,0.8659,0.8560,0.3433,2.364221,2.336347,0.3413,0.6352,0.8397,0.7233,0.2787,0.0718,9.7e-04,101.7
109,2.294647,2.260317,0.3627,0.8410,0.8664,0.8535,0.3433,2.388127,2.359261,0.3374,0.5964,0.8655,0.7062,0.2887,0.0935,9.5e-04,101.3
110,2.296593,2.262484,0.3610,0.8475,0.8600,0.8537,0.3411,2.377104,2.348640,0.3409,0.5960,0.8494,0.7005,0.2846,0.0805,9.4e-04,101.7
111,2.281822,2.247861,0.3656,0.8354,0.8603,0.8477,0.3396,2.369869,2.341126,0.3425,0.5994,0.8598,0.7063,0.2874,0.0880,9.2e-04,101.4
112,2.284945,2.250862,0.3653,0.8457,0.8650,0.8552,0.3408,2.373041,2.343713,0.3402,0.5934,0.8437,0.6967,0.2933,0.0881,9.1e-04,101.7
113,2.285171,2.251122,0.3637,0.8415,0.8731,0.8570,0.3405,2.378511,2.350145,0.3396,0.6300,0.8466,0.7224,0.2837,0.0933,8.9e-04,101.4
