epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
90,2.935176,2.493404,0.2899,0.8736,0.8308,0.8516,0.4418,2.860170,2.417992,0.3063,0.6484,0.8620,0.7401,0.4422,-0.0750,2.6e-03,172.8
91,2.929589,2.490539,0.2905,0.8660,0.8267,0.8459,0.4391,2.850641,2.415239,0.3082,0.7095,0.8268,0.7637,0.4354,-0.0789,2.6e-03,172.8
92,2.928332,2.488433,0.2907,0.8691,0.8285,0.8483,0.4399,2.851586,2.417164,0.3073,0.6422,0.8668,0.7378,0.4344,-0.0767,2.5e-03,173.7
93,2.923528,2.484338,0.2918,0.8692,0.8295,0.8489,0.4392,2.856712,2.415462,0.3079,0.6770,0.8444,0.7515,0.4412,-0.0668,2.5e-03,172.8
94,2.938657,2.489956,0.2906,0.8709,0.8316,0.8508,0.4487,2.866571,2.419294,0.3075,0.5650,0.9015,0.6946,0.4473,-0.0721,2.5e-03,172.8
95,2.947029,2.488035,0.2910,0.8663,0.8292,0.8473,0.4590,2.878217,2.417617,0.3087,0.5900,0.8941,0.7109,0.4606,-0.0688,2.5e-03,173.0
96,2.927870,2.480707,0.2924,0.8718,0.8307,0.8507,0.4472,2.848674,2.406779,0.3097,0.5902,0.8907,0.7100,0.4419,-0.0792,2.4e-03,173.7
97,2.924522,2.478219,0.2927,0.8735,0.8357,0.8542,0.4463,2.853338,2.409719,0.3092,0.6724,0.8420,0.7477,0.4436,-0.0712,2.4e-03,172.7
98,2.927789,2.476573,0.2931,0.8708,0.8360,0.8530,0.4512,2.863436,2.410263,0.3078,0.6443,0.8668,0.7392,0.4532,-0.0644,2.4e-03,172.8
99,2.927031,2.473665,0.2936,0.8721,0.8369,0.8541,0.4534,2.862838,2.403425,0.3097,0.6401,0.8702,0.7376,0.4594,-0.0642,2.3e-03,172.8
100,2.922335,2.470599,0.2941,0.8728,0.8375,0.8548,0.4517,2.857207,2.413663,0.3079,0.6654,0.8683,0.7534,0.4435,-0.0651,2.3e-03,172.8
101,2.916582,2.467783,0.2948,0.8718,0.8329,0.8519,0.4488,2.854166,2.409142,0.3091,0.5281,0.9200,0.6711,0.4450,-0.0624,2.3e-03,173.7
102,2.920125,2.469314,0.2945,0.8698,0.8304,0.8496,0.4508,2.861344,2.412176,0.3091,0.5988,0.8883,0.7154,0.4492,-0.0588,2.3e-03,172.8
103,2.911325,2.464541,0.2953,0.8707,0.8361,0.8530,0.4468,2.851345,2.401176,0.3105,0.6625,0.8551,0.7466,0.4502,-0.0600,2.2e-03,172.7
104,2.906007,2.461783,0.2956,0.8769,0.8391,0.8576,0.4442,2.857360,2.411365,0.3091,0.5839,0.9015,0.7087,0.4460,-0.0486,2.2e-03,172.8
105,2.912069,2.462641,0.2956,0.8718,0.8400,0.8556,0.4494,2.860598,2.409704,0.3097,0.6333,0.8771,0.7355,0.4509,-0.0515,2.2e-03,173.7
106,2.906847,2.459483,0.2962,0.8740,0.8410,0.8572,0.4474,2.855973,2.413044,0.3102,0.6486,0.8741,0.7446,0.4429,-0.0509,2.2e-03,172.8
107,2.902836,2.456729,0.2965,0.8767,0.8407,0.8583,0.4461,2.850224,2.405727,0.3103,0.6899,0.8488,0.7612,0.4445,-0.0526,2.1e-03,172.8
108,2.909173,2.455311,0.2970,0.8752,0.8385,0.8564,0.4539,2.854952,2.405696,0.3106,0.6869,0.8498,0.7597,0.4493,-0.0542,2.1e-03,172.8
109,2.902306,2.453967,0.2973,0.8753,0.8380,0.8562,0.4483,2.860647,2.409664,0.3104,0.6600,0.8634,0.7481,0.4510,-0.0417,2.1e-03,172.8
110,2.902547,2.451401,0.2977,0.8783,0.8413,0.8594,0.4511,2.866585,2.414669,0.3098,0.7222,0.8190,0.7675,0.4519,-0.0360,2.0e-03,173.9
111,2.898101,2.449085,0.2982,0.8825,0.8469,0.8643,0.4490,2.847940,2.406034,0.3099,0.6346,0.8751,0.7357,0.4419,-0.0502,2.0e-03,172.7
112,2.907496,2.451511,0.2980,0.8740,0.8367,0.8550,0.4560,2.861430,2.411329,0.3096,0.6377,0.8854,0.7414,0.4501,-0.0461,2.0e-03,172.7
113,2.898085,2.446862,0.2987,0.8794,0.8429,0.8607,0.4512,2.845413,2.401355,0.3109,0.6565,0.8605,0.7448,0.4441,-0.0527,2.0e-03,172.7
114,2.886661,2.441583,0.2996,0.8773,0.8433,0.8600,0.4451,2.835310,2.398914,0.3114,0.6772,0.8546,0.7557,0.4364,-0.0514,1.9e-03,173.7
115,2.883442,2.440606,0.2997,0.8780,0.8464,0.8619,0.4428,2.844000,2.400861,0.3119,0.6687,0.8663,0.7548,0.4431,-0.0394,1.9e-03,172.8
116,2.879875,2.438345,0.3000,0.8771,0.8447,0.8606,0.4415,2.854507,2.409281,0.3111,0.6540,0.8639,0.7444,0.4452,-0.0254,1.9e-03,172.7
117,2.883013,2.438794,0.3000,0.8764,0.8395,0.8575,0.4442,2.852367,2.407465,0.3112,0.5648,0.9117,0.6975,0.4449,-0.0306,1.8e-03,172.7
118,2.891252,2.436563,0.3006,0.8796,0.8495,0.8643,0.4547,2.844940,2.401981,0.3121,0.6854,0.8556,0.7611,0.4430,-0.0463,1.8e-03,172.7
119,2.884827,2.435912,0.3008,0.8793,0.8432,0.8609,0.4489,2.857496,2.410355,0.3106,0.6485,0.8712,0.7435,0.4471,-0.0273,1.8e-03,173.7
120,2.880832,2.432429,0.3014,0.8761,0.8433,0.8594,0.4484,2.857284,2.408901,0.3108,0.6140,0.8878,0.7260,0.4484,-0.0235,1.8e-03,172.8
121,2.880444,2.431528,0.3016,0.8782,0.8456,0.8616,0.4489,2.838001,2.401214,0.3121,0.7459,0.8220,0.7821,0.4368,-0.0424,1.7e-03,172.7
122,2.872130,2.428114,0.3021,0.8793,0.8465,0.8626,0.4440,2.839207,2.405751,0.3119,0.6581,0.8659,0.7478,0.4335,-0.0329,1.7e-03,172.7
123,2.865416,2.423277,0.3029,0.8758,0.8480,0.8617,0.4421,2.845025,2.396543,0.3128,0.6498,0.8780,0.7469,0.4485,-0.0204,1.7e-03,173.7
124,2.867151,2.422452,0.3032,0.8795,0.8466,0.8628,0.4447,2.838437,2.398056,0.3126,0.6861,0.8561,0.7617,0.4404,-0.0287,1.7e-03,172.7
125,2.861303,2.420246,0.3035,0.8787,0.8475,0.8628,0.4411,2.842370,2.402426,0.3134,0.6198,0.8937,0.7319,0.4399,-0.0189,1.6e-03,172.7
126,2.858697,2.418672,0.3039,0.8845,0.8516,0.8677,0.4400,2.834711,2.395908,0.3133,0.6733,0.8707,0.7594,0.4388,-0.0240,1.6e-03,172.7
127,2.860944,2.417033,0.3041,0.8806,0.8481,0.8641,0.4439,2.848192,2.408431,0.3123,0.6454,0.8834,0.7459,0.4398,-0.0128,1.6e-03,172.7
128,2.851082,2.415705,0.3044,0.8803,0.8479,0.8638,0.4354,2.812537,2.405434,0.3120,0.6287,0.8771,0.7324,0.4071,-0.0385,1.6e-03,173.6
129,2.817077,2.412900,0.3049,0.8828,0.8479,0.8650,0.4042,2.797859,2.407405,0.3120,0.6677,0.8683,0.7549,0.3905,-0.0192,1.5e-03,172.7
130,2.803966,2.410708,0.3054,0.8796,0.8464,0.8627,0.3933,2.782797,2.396278,0.3132,0.6884,0.8610,0.7651,0.3865,-0.0212,1.5e-03,172.7
131,2.800413,2.409717,0.3057,0.8783,0.8498,0.8638,0.3907,2.789515,2.400310,0.3136,0.6665,0.8727,0.7558,0.3892,-0.0109,1.5e-03,172.7
132,2.797162,2.407874,0.3059,0.8823,0.8460,0.8638,0.3893,2.777098,2.389011,0.3148,0.6993,0.8610,0.7718,0.3881,-0.0201,1.4e-03,173.6
133,2.800789,2.403515,0.3067,0.8826,0.8483,0.8651,0.3973,2.797296,2.401400,0.3142,0.7147,0.8346,0.7700,0.3959,-0.0035,1.4e-03,172.8
134,2.802313,2.404335,0.3067,0.8781,0.8461,0.8618,0.3980,2.799123,2.403100,0.3136,0.6585,0.8766,0.7520,0.3960,-0.0032,1.4e-03,172.7
135,2.802984,2.402185,0.3072,0.8850,0.8561,0.8703,0.4008,2.792859,2.400174,0.3138,0.6417,0.8868,0.7446,0.3927,-0.0101,1.4e-03,172.7
136,2.800362,2.400226,0.3075,0.8839,0.8526,0.8680,0.4001,2.790045,2.397024,0.3144,0.6336,0.8898,0.7401,0.3930,-0.0103,1.4e-03,172.7
137,2.765907,2.397330,0.3081,0.8812,0.8495,0.8651,0.3686,2.758374,2.404579,0.3140,0.6890,0.8615,0.7657,0.3538,-0.0075,1.3e-03,173.6
138,2.751315,2.395400,0.3082,0.8849,0.8484,0.8663,0.3559,2.750133,2.400091,0.3144,0.6722,0.8712,0.7589,0.3500,-0.0012,1.3e-03,172.8
139,2.746567,2.394247,0.3086,0.8866,0.8533,0.8696,0.3523,2.749060,2.399415,0.3149,0.6305,0.8873,0.7372,0.3496,0.0025,1.3e-03,172.7
140,2.742190,2.391208,0.3090,0.8866,0.8562,0.8711,0.3510,2.746532,2.400921,0.3134,0.6538,0.8741,0.7481,0.3456,0.0043,1.3e-03,172.7
141,2.739220,2.388263,0.3097,0.8820,0.8560,0.8688,0.3510,2.740244,2.390121,0.3154,0.6794,0.8663,0.7616,0.3501,0.0010,1.2e-03,173.6
142,2.739009,2.387233,0.3100,0.8829,0.8455,0.8638,0.3518,2.738918,2.389276,0.3158,0.6726,0.8829,0.7636,0.3496,-0.0001,1.2e-03,172.7
143,2.734587,2.384935,0.3105,0.8890,0.8572,0.8728,0.3497,2.746171,2.397878,0.3156,0.6585,0.8746,0.7513,0.3483,0.0116,1.2e-03,172.7
144,2.732345,2.383855,0.3104,0.8817,0.8506,0.8659,0.3485,2.735951,2.392669,0.3154,0.6815,0.8737,0.7657,0.3433,0.0036,1.2e-03,172.7
145,2.727169,2.381058,0.3110,0.8850,0.8570,0.8708,0.3461,2.738962,2.392048,0.3155,0.6480,0.8800,0.7464,0.3469,0.0118,1.1e-03,172.7
146,2.724862,2.380952,0.3110,0.8845,0.8548,0.8694,0.3439,2.731534,2.389635,0.3157,0.7022,0.8615,0.7737,0.3419,0.0067,1.1e-03,173.7
147,2.720651,2.376847,0.3120,0.8881,0.8569,0.8723,0.3438,2.737648,2.393101,0.3155,0.6507,0.8834,0.7494,0.3445,0.0170,1.1e-03,172.7
148,2.718670,2.374824,0.3124,0.8900,0.8570,0.8732,0.3438,2.733055,2.390036,0.3164,0.6571,0.8785,0.7518,0.3430,0.0144,1.1e-03,172.8
149,2.718782,2.374890,0.3123,0.8863,0.8532,0.8694,0.3439,2.738888,2.395427,0.3161,0.7163,0.8537,0.7790,0.3435,0.0201,1.1e-03,172.7
150,2.717128,2.371557,0.3131,0.8869,0.8558,0.8711,0.3456,2.736697,2.392562,0.3165,0.6613,0.8790,0.7548,0.3441,0.0196,1.0e-03,173.6
151,2.718103,2.371992,0.3129,0.8875,0.8583,0.8726,0.3461,2.739422,2.394403,0.3160,0.7055,0.8600,0.7751,0.3450,0.0213,1.0e-03,172.7
152,2.712655,2.368083,0.3135,0.8908,0.8594,0.8748,0.3446,2.742765,2.395565,0.3161,0.6406,0.8902,0.7451,0.3472,0.0301,1.0e-03,172.7
153,2.712761,2.367355,0.3139,0.8875,0.8547,0.8708,0.3454,2.734896,2.392411,0.3167,0.6773,0.8795,0.7653,0.3425,0.0221,9.8e-04,172.7
