epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
78,3.167173,2.578563,0.2753,0.8417,0.7795,0.8094,0.5886,3.004902,2.459056,0.2993,0.5665,0.8771,0.6884,0.5458,-0.1623,2.9e-03,172.8
79,3.173432,2.574570,0.2759,0.8454,0.7838,0.8134,0.5989,3.014186,2.454206,0.2992,0.5660,0.8600,0.6827,0.5600,-0.1592,2.9e-03,173.9
80,3.210435,2.577009,0.2758,0.8380,0.7621,0.7983,0.6334,3.051466,2.459816,0.2986,0.5773,0.8746,0.6955,0.5917,-0.1590,2.9e-03,173.3
81,3.184766,2.573884,0.2763,0.8448,0.7713,0.8064,0.6109,3.006833,2.458579,0.2991,0.4902,0.9039,0.6357,0.5483,-0.1779,2.8e-03,173.3
82,3.164589,2.570167,0.2768,0.8479,0.7771,0.8109,0.5944,3.048201,2.461878,0.2980,0.6038,0.8580,0.7088,0.5863,-0.1164,2.8e-03,173.3
83,3.153795,2.565960,0.2777,0.8490,0.7835,0.8149,0.5878,3.024971,2.452110,0.3000,0.6837,0.7971,0.7360,0.5729,-0.1288,2.8e-03,174.1
84,3.130974,2.563576,0.2780,0.8399,0.7781,0.8079,0.5674,2.957375,2.457075,0.2988,0.6518,0.8210,0.7267,0.5003,-0.1736,2.8e-03,173.2
85,3.093897,2.559898,0.2786,0.8452,0.7869,0.8150,0.5340,2.953141,2.462883,0.2995,0.5235,0.8893,0.6591,0.4903,-0.1408,2.7e-03,173.5
86,3.102600,2.560638,0.2786,0.8466,0.7857,0.8150,0.5420,2.941230,2.448580,0.3014,0.6252,0.8454,0.7188,0.4926,-0.1614,2.7e-03,173.5
87,3.074373,2.556514,0.2790,0.8525,0.7920,0.8211,0.5179,2.914372,2.445311,0.3009,0.6258,0.8444,0.7189,0.4691,-0.1600,2.7e-03,172.9
88,3.060386,2.553936,0.2796,0.8506,0.7979,0.8234,0.5065,2.918141,2.446257,0.3013,0.6035,0.8620,0.7099,0.4719,-0.1422,2.7e-03,174.4
89,3.070659,2.553072,0.2798,0.8511,0.7971,0.8232,0.5176,2.932005,2.446825,0.3018,0.5801,0.8634,0.6940,0.4852,-0.1387,2.6e-03,172.8
90,3.077644,2.550258,0.2804,0.8555,0.8061,0.8301,0.5274,2.941190,2.445397,0.3012,0.5867,0.8649,0.6991,0.4958,-0.1365,2.6e-03,173.6
91,3.061432,2.546566,0.2809,0.8489,0.7982,0.8228,0.5149,2.923850,2.447051,0.3013,0.6123,0.8727,0.7196,0.4768,-0.1376,2.6e-03,173.8
92,3.080839,2.544944,0.2812,0.8507,0.8014,0.8254,0.5359,2.929011,2.450578,0.3012,0.5791,0.8717,0.6959,0.4784,-0.1518,2.5e-03,174.5
